Industry/Size Band,Wave,Stock_levels_are_higher_than_normal,Stock levels are lower than normal ,Prices_increased_more_than_normal,Prices decreased more than normal,Demand increased more than normal,Demand did not increase
Accommodation and food service activities,31,0.13,0.32,0.10,,0.19,0.62
Information and communication,31,,0.02,,0.02,0.04,0.84
Real estate activities,31,0.00,,0.00,0.00,,
"Professional, scientific and technical activities",31,0.01,0.02,0.03,,0.09,0.83
Administrative and support service activities,31,,0.05,0.09,0.01,0.17,0.72
Education,31,,0.08,0.00,,,
Human health and social work activities,31,0.01,,0.04,,,
"Arts, entertainment and recreation",31,0.04,0.12,,,0.28,0.63
Other service activities,31,,0.21,,0.00,0.24,0.58
0 - 9,31,0.03,0.09,0.07,0.01,0.13,0.72
10 - 49,31,0.08,0.15,0.09,0.01,0.19,0.66
50 - 99,31,0.09,0.13,0.09,0.01,0.20,0.63
100 -249,31,0.11,0.11,0.06,0.01,0.18,0.62
250 +,31,0.09,0.14,0.06,0.01,0.19,0.60
All size bands excluding 0 - 9,31,0.08,0.15,0.09,0.01,0.19,0.65
All businesses,31,0.03,0.10,0.07,0.01,0.14,0.71
Manufacturing,29,0.08,0.29,0.09,,0.22,0.68
"Water supply, sewerage, waste management and remediation activities",29,0.01,,,,,
Construction,29,0.03,0.07,0.11,0.01,0.08,0.68
Wholesale and retail trade; repair of motor vehicles and motorcycles,29,0.11,0.23,0.13,,0.17,0.70
Transportation and storage,29,,0.05,0.02,,0.07,0.78
Accommodation and food service activities,29,0.11,0.35,0.08,0.02,0.27,0.58
Information and communication,29,,0.01,0.02,,0.11,0.76
Real estate activities,29,0.00,0.07,,0.00,,
"Professional, scientific and technical activities",29,0.02,0.02,0.04,0.02,0.09,0.80
Administrative and support service activities,29,0.01,0.03,0.05,0.01,0.08,0.68
Education,29,,,,,,
Human health and social work activities,29,0.05,0.09,,0.00,,
"Arts, entertainment and recreation",29,0.02,0.09,0.02,,0.35,0.51
Other service activities,29,0.06,0.18,0.07,0.00,0.45,0.49
0 - 9,29,0.04,0.11,0.07,,0.14,0.70
10 - 49,29,0.10,0.16,0.10,0.01,0.21,0.64
50 - 99,29,0.09,0.13,0.09,0.01,0.22,0.63
100 -249,29,0.12,0.11,0.06,0.01,0.17,0.62
250 +,29,0.10,0.13,0.06,0.01,0.19,0.61
All size bands excluding 0 - 9,29,0.10,0.15,0.09,0.01,0.21,0.63
All businesses,29,0.05,0.11,0.07,0.01,0.15,0.69
Manufacturing,27,0.07,0.24,0.07,0.03,0.16,0.77
"Water supply, sewerage, waste management and remediation activities",27,0.01,,,,,
Construction,27,0.05,0.08,0.11,,0.10,0.75
Wholesale and retail trade; repair of motor vehicles and motorcycles,27,0.08,0.15,0.09,0.02,0.09,0.80
Transportation and storage,27,,0.06,0.03,0.03,0.09,0.72
Accommodation and food service activities,27,,0.30,0.05,,0.02,0.82
Information and communication,27,0.02,0.01,0.01,0.02,0.10,0.83
Real estate activities,27,0.00,0.10,,,,
"Professional, scientific and technical activities",27,0.02,0.02,0.01,0.03,0.07,0.84
Administrative and support service activities,27,0.02,0.03,0.04,0.01,0.06,0.75
Education,27,0.00,,0.00,0.06,,
Human health and social work activities,27,0.02,0.05,,0.04,0.15,0.70
"Arts, entertainment and recreation",27,0.02,0.05,0.03,,0.08,0.34
Other service activities,27,0.01,0.46,,,,
0 - 9,27,0.03,0.07,0.05,0.02,0.08,0.79
10 - 49,27,0.10,0.15,0.08,0.01,0.15,0.71
50 - 99,27,0.12,0.11,0.07,0.02,0.14,0.72
100 -249,27,0.11,0.12,0.05,0.02,0.12,0.69
250 +,27,0.10,0.13,0.05,0.02,0.13,0.68
All size bands excluding 0 - 9,27,0.10,0.15,0.08,0.02,0.15,0.71
All businesses,27,0.04,0.08,0.05,0.02,0.09,0.78
Manufacturing,25,0.07,0.26,0.15,0.01,,
"Water supply, sewerage, waste management and remediation activities",25,0.14,,,,,
Construction,25,0.01,0.05,0.08,0.01,0.01,0.86
Wholesale and retail trade; repair of motor vehicles and motorcycles,25,0.10,0.24,0.13,0.04,0.19,0.66
Transportation and storage,25,,,,0.00,,
Accommodation and food service activities,25,0.03,0.32,0.03,,,
Information and communication,25,,0.02,,0.02,,
Real estate activities,25,0.04,0.05,,0.09,,
"Professional, scientific and technical activities",25,0.02,0.03,0.01,0.02,0.10,0.76
Administrative and support service activities,25,0.03,0.03,0.04,,,
Education,25,0.00,,0.00,0.05,,
Human health and social work activities,25,0.02,0.01,0.05,0.05,,
"Arts, entertainment and recreation",25,0.06,0.04,0.00,,,
Other service activities,25,,0.17,,,,
0 - 9,25,0.03,0.09,0.06,0.02,0.13,0.76
10 - 49,25,0.10,0.16,0.07,0.02,0.14,0.74
50 - 99,25,0.11,0.12,0.07,0.02,0.19,0.68
100 -249,25,0.13,0.12,0.05,0.03,0.13,0.72
250 +,25,0.10,0.14,0.05,0.02,0.16,0.69
All size bands excluding 0 - 9,25,0.10,0.15,0.07,0.02,0.15,0.73
All businesses,25,0.04,0.09,0.06,0.02,0.14,0.76
Manufacturing,23,0.11,0.15,0.04,0.03,0.13,0.84
"Water supply, sewerage, waste management and remediation activities",23,0.02,0.05,,,,
Construction,23,0.03,0.09,0.09,0.01,0.06,0.80
Wholesale and retail trade; repair of motor vehicles and motorcycles,23,0.10,0.25,0.12,0.03,0.05,0.87
Transportation and storage,23,0.02,,,0.00,0.04,0.70
Accommodation and food service activities,23,0.04,0.30,0.04,0.02,0.01,0.86
Information and communication,23,,0.02,,0.01,0.04,0.85
Real estate activities,23,0.07,0.08,,0.04,,0.84
"Professional, scientific and technical activities",23,0.02,0.02,0.02,0.02,0.05,0.88
Administrative and support service activities,23,,0.05,0.05,0.05,0.07,0.88
Education,23,,0.05,,,0.07,0.85
Human health and social work activities,23,0.06,0.06,,0.09,0.03,0.86
"Arts, entertainment and recreation",23,0.03,0.01,,,0.06,0.47
Other service activities,23,0.01,0.28,,,,
0 - 9,23,0.03,0.09,0.05,0.02,0.06,0.84
10 - 49,23,0.09,0.15,0.07,0.02,0.06,0.83
50 - 99,23,0.12,0.11,0.06,0.02,0.08,0.78
100 -249,23,0.13,0.14,0.04,0.02,0.06,0.78
250 +,23,0.11,0.13,0.04,0.02,0.06,0.76
All size bands excluding 0 - 9,23,0.10,0.15,0.06,0.02,0.06,0.82
All businesses,23,0.04,0.09,0.05,0.02,0.06,0.84
Manufacturing,21,0.09,0.13,0.04,0.74,0.08,0.86
"Water supply, sewerage, waste management and remediation activities",21,0.02,0.01,,,,
Construction,21,0.02,0.09,0.10,0.51,0.03,0.86
Wholesale and retail trade; repair of motor vehicles and motorcycles,21,0.14,0.15,0.08,0.64,0.08,0.78
Transportation and storage,21,,0.05,0.05,0.50,0.17,0.68
Accommodation and food service activities,21,0.08,0.31,0.04,0.72,0.04,0.72
Information and communication,21,,0.02,,0.57,0.06,0.85
Real estate activities,21,0.10,,0.00,0.39,,
"Professional, scientific and technical activities",21,0.01,,,0.52,0.05,0.91
Administrative and support service activities,21,0.03,0.03,0.02,0.54,0.04,0.75
Education,21,,0.05,,0.45,,
Human health and social work activities,21,0.07,0.09,,0.57,0.04,0.75
"Arts, entertainment and recreation",21,,0.02,0.00,0.41,,
Other service activities,21,,0.39,0.00,0.68,,
0 - 9,21,0.04,0.07,0.04,0.55,0.06,0.82
10 - 49,21,0.10,0.14,0.05,0.66,0.08,0.81
50 - 99,21,0.11,0.12,0.04,0.68,0.08,0.79
100 -249,21,0.13,0.13,0.03,0.71,0.08,0.77
250 +,21,0.13,0.11,0.03,0.70,0.07,0.77
All size bands excluding 0 - 9,21,0.11,0.14,0.05,0.67,0.08,0.80
All businesses,21,0.05,0.08,0.04,0.57,0.06,0.82
Manufacturing,19,0.07,0.12,0.01,0.04,0.11,0.82
"Water supply, sewerage, waste management and remediation activities",19,0.01,,,,,
Construction,19,0.02,0.07,0.06,,0.10,0.76
Wholesale and retail trade; repair of motor vehicles and motorcycles,19,0.14,0.17,0.06,0.02,0.10,0.75
Transportation and storage,19,0.02,0.01,0.07,0.04,0.14,0.72
Accommodation and food service activities,19,0.03,0.43,0.04,0.07,0.05,0.88
Information and communication,19,,0.04,0.02,0.04,0.08,0.80
Real estate activities,19,0.09,0.07,,0.06,0.00,0.88
"Professional, scientific and technical activities",19,0.01,0.02,0.02,0.04,0.08,0.85
Administrative and support service activities,19,0.02,0.05,0.03,0.06,0.14,0.76
Education,19,,0.01,0.00,0.11,,
Human health and social work activities,19,0.06,0.15,,,0.05,0.84
"Arts, entertainment and recreation",19,0.03,0.14,,0.03,0.03,0.78
Other service activities,19,0.14,0.37,0.08,,0.22,0.71
0 - 9,19,0.04,0.09,0.04,0.03,0.09,0.79
10 - 49,19,0.11,0.19,0.03,0.04,0.12,0.76
50 - 99,19,0.10,0.13,0.03,0.04,0.14,0.73
100 -249,19,0.13,0.17,0.02,0.02,0.12,0.73
250 +,19,0.11,0.15,0.02,0.03,0.11,0.71
All size bands excluding 0 - 9,19,0.11,0.18,0.03,0.03,0.12,0.76
All businesses,19,0.04,0.10,0.04,0.03,0.10,0.79
Manufacturing,17,0.09,0.18,,0.01,0.15,0.70
"Water supply, sewerage, waste management and remediation activities",17,0.37,0.00,0.14,0.00,0.00,0.78
Construction,17,0.02,0.15,0.09,0.15,0.03,0.83
Wholesale and retail trade; repair of motor vehicles and motorcycles,17,0.13,0.27,0.05,0.08,0.12,0.82
Transportation and storage,17,,0.05,,,,
Accommodation and food service activities,17,0.09,0.45,0.05,0.11,0.05,0.93
Information and communication,17,,0.04,,0.06,0.22,0.77
Real estate activities,17,0.02,0.21,,,,
"Professional, scientific and technical activities",17,0.02,,,0.06,0.09,0.84
Administrative and support service activities,17,0.06,0.04,,0.04,0.08,0.83
Education,17,,,,,,
Human health and social work activities,17,0.24,0.03,,,,
"Arts, entertainment and recreation",17,0.02,0.17,0.11,,,
Other service activities,17,0.14,0.02,,,,
0 - 9,17,0.05,0.14,0.03,0.07,0.10,0.84
10 - 49,17,0.10,0.22,0.04,0.05,0.09,0.81
50 - 99,17,0.09,0.14,0.03,0.06,0.10,0.82
100 -249,17,0.08,0.15,0.02,0.04,0.09,0.75
250 +,17,0.09,0.15,0.03,0.04,0.11,0.75
All size bands excluding 0 - 9,17,0.10,0.20,0.04,0.05,0.09,0.80
All businesses,17,0.05,0.15,0.03,0.07,0.10,0.83
Manufacturing,15,0.04,0.26,0.01,0.06,0.13,0.77
"Water supply, sewerage, waste management and remediation activities",15,0.03,0.06,,,,
Construction,15,0.02,0.05,0.02,0.09,0.16,0.76
Wholesale and retail trade; repair of motor vehicles and motorcycles,15,0.13,0.29,0.09,0.02,0.13,0.74
Transportation and storage,15,0.00,,,,,
Accommodation and food service activities,15,0.11,0.24,0.05,0.06,0.05,0.93
Information and communication,15,,0.02,,0.05,0.04,0.84
Real estate activities,15,0.32,,,,,
"Professional, scientific and technical activities",15,0.01,0.03,0.01,0.06,0.10,0.80
Administrative and support service activities,15,0.08,0.08,0.04,0.12,0.14,0.77
Education,15,,0.02,,,,
Human health and social work activities,15,0.02,0.03,,,,
"Arts, entertainment and recreation",15,0.07,0.27,,,,
Other service activities,15,0.07,0.14,,,,
0 - 9,15,0.06,0.12,0.04,0.06,0.10,0.82
10 - 49,15,0.09,0.18,0.03,0.04,0.12,0.76
50 - 99,15,0.08,0.14,0.03,0.05,0.14,0.73
100 -249,15,0.07,0.16,0.02,0.04,0.15,0.68
250 +,15,0.09,0.14,0.03,0.04,0.15,0.66
All size bands excluding 0 - 9,15,0.09,0.17,0.03,0.04,0.12,0.75
All businesses,15,0.06,0.13,0.04,0.06,0.10,0.81
Manufacturing,13,0.09,0.15,0.06,0.08,0.08,0.86
"Water supply, sewerage, waste management and remediation activities",13,,,,,,
Construction,13,,0.05,0.02,0.02,0.10,0.89
Wholesale and retail trade; repair of motor vehicles and motorcycles,13,0.12,0.26,0.11,0.05,0.11,0.81
Transportation and storage,13,,0.09,,0.07,0.24,0.68
Accommodation and food service activities,13,0.03,0.27,0.08,0.01,0.15,0.75
Information and communication,13,,0.09,0.00,0.03,0.06,0.89
Real estate activities,13,0.01,0.12,,,,
"Professional, scientific and technical activities",13,,,,0.04,0.13,0.82
Administrative and support service activities,13,,,,0.05,0.10,0.86
Education,13,,0.01,,,,
Human health and social work activities,13,0.04,0.03,,,,
"Arts, entertainment and recreation",13,,,,0.09,,
Other service activities,13,0.16,0.15,0.00,0.00,,
0 - 9,13,0.03,0.10,0.03,0.04,0.11,0.84
10 - 49,13,0.10,0.18,0.04,0.03,0.18,0.69
50 - 99,13,0.08,0.13,0.03,0.04,0.16,0.70
100 -249,13,0.07,0.15,0.02,0.03,0.19,0.65
250 +,13,0.12,0.16,0.03,0.04,0.18,0.63
All size bands excluding 0 - 9,13,0.10,0.17,0.04,0.03,0.18,0.69
All businesses,13,0.04,0.11,0.03,0.04,0.12,0.82
Manufacturing,11,0.12,0.24,,0.05,0.17,0.73
"Water supply, sewerage, waste management and remediation activities",11,0.02,,,,,
Construction,11,0.07,0.07,0.03,0.07,0.18,0.74
Wholesale and retail trade; repair of motor vehicles and motorcycles,11,0.08,0.32,0.08,0.02,0.14,0.81
Transportation and storage,11,,,,0.21,0.12,0.83
Accommodation and food service activities,11,0.02,0.49,0.08,0.05,0.19,0.77
Information and communication,11,0.01,0.07,,,0.12,0.87
Real estate activities,11,0.11,0.21,,,,
"Professional, scientific and technical activities",11,,0.02,,0.05,0.10,0.79
Administrative and support service activities,11,0.11,0.02,0.06,,0.12,0.79
Education,11,,,,,,
Human health and social work activities,11,0.14,0.07,,,,
"Arts, entertainment and recreation",11,,0.03,,,,
Other service activities,11,0.17,0.18,0.11,0.00,0.13,0.83
0 - 9,11,0.05,0.12,0.04,0.06,0.13,0.81
10 - 49,11,0.09,0.19,0.04,0.04,0.21,0.70
50 - 99,11,0.08,0.15,0.03,0.05,0.20,0.68
100 -249,11,0.09,0.17,0.03,0.03,0.23,0.62
250 +,11,0.10,0.15,0.02,0.04,0.23,0.61
All size bands excluding 0 - 9,11,0.09,0.19,0.04,0.04,0.21,0.69
All businesses,11,0.05,0.13,0.04,0.06,0.14,0.79
